id,direction,entry_time,exit_time,entry_price,exit_price,size,fee,pnl,reason
1,long,2025-01-03T06:00:00+00:00,2025-01-03T12:00:00+00:00,0.34,0.34,29545.59,12.07,104.38,Half TP
1,long,2025-01-03T06:00:00+00:00,2025-01-03T13:00:00+00:00,0.34,0.35,29545.59,12.24,395.51,SL
2,long,2025-01-05T15:00:00+00:00,2025-01-06T01:00:00+00:00,0.38,0.38,52164.84,23.82,-325.96,SL
3,long,2025-01-06T02:00:00+00:00,2025-01-06T14:00:00+00:00,0.38,0.39,25978.75,12.08,120.51,Half TP
3,long,2025-01-06T02:00:00+00:00,2025-01-06T15:00:00+00:00,0.38,0.39,25978.75,12.12,189.75,SL
4,long,2025-01-07T01:00:00+00:00,2025-01-07T03:00:00+00:00,0.4,0.39,50535.68,23.83,-312.95,SL
6,long,2025-01-07T08:00:00+00:00,2025-01-07T11:00:00+00:00,0.4,0.39,50450.27,23.84,-287.36,SL
5,short,2025-01-07T05:00:00+00:00,2025-01-07T14:00:00+00:00,0.39,0.38,25613.44,11.85,230.56,Half TP
5,short,2025-01-07T05:00:00+00:00,2025-01-08T18:00:00+00:00,0.39,0.34,25613.44,11.26,1217.62,SL
7,short,2025-01-09T04:00:00+00:00,2025-01-09T10:00:00+00:00,0.34,0.33,29405.71,11.77,368.75,Half TP
7,short,2025-01-09T04:00:00+00:00,2025-01-09T15:00:00+00:00,0.34,0.33,29405.71,11.85,240.23,SL
9,long,2025-01-11T19:00:00+00:00,2025-01-11T21:00:00+00:00,0.34,0.34,29558.69,12.07,101.44,Half TP
8,short,2025-01-11T07:00:00+00:00,2025-01-11T21:00:00+00:00,0.33,0.34,60286.36,24.37,-634.77,SL
9,long,2025-01-11T19:00:00+00:00,2025-01-11T22:00:00+00:00,0.34,0.35,29558.69,12.16,258.82,SL
11,long,2025-01-12T12:00:00+00:00,2025-01-12T15:00:00+00:00,0.34,0.34,29753.93,12.07,97.85,Half TP
11,long,2025-01-12T12:00:00+00:00,2025-01-12T16:00:00+00:00,0.34,0.34,29753.93,12.1,162.05,SL
10,short,2025-01-12T06:00:00+00:00,2025-01-12T22:00:00+00:00,0.34,0.33,29480.26,11.87,203.08,Half TP
10,short,2025-01-12T06:00:00+00:00,2025-01-13T00:00:00+00:00,0.34,0.34,29480.26,12.0,-5.85,SL
12,long,2025-01-14T15:00:00+00:00,2025-01-14T18:00:00+00:00,0.35,0.36,28337.44,12.1,147.32,Half TP
12,long,2025-01-14T15:00:00+00:00,2025-01-14T19:00:00+00:00,0.35,0.36,28337.44,12.15,231.11,SL
13,long,2025-01-15T01:00:00+00:00,2025-01-15T09:00:00+00:00,0.36,0.35,55538.59,23.81,-347.16,SL
14,long,2025-01-15T13:00:00+00:00,2025-01-15T15:00:00+00:00,0.37,0.37,27210.14,12.1,156.69,Half TP
14,long,2025-01-15T13:00:00+00:00,2025-01-15T16:00:00+00:00,0.37,0.38,27210.14,12.16,257.64,SL
15,long,2025-01-17T02:00:00+00:00,2025-01-17T07:00:00+00:00,0.39,0.39,25955.82,12.11,168.32,Half TP
15,long,2025-01-17T02:00:00+00:00,2025-01-17T09:00:00+00:00,0.39,0.42,25955.82,12.5,816.37,SL
16,long,2025-01-17T16:00:00+00:00,2025-01-18T00:00:00+00:00,0.42,0.42,24058.12,12.12,192.8,Half TP
16,long,2025-01-17T16:00:00+00:00,2025-01-18T01:00:00+00:00,0.42,0.43,24058.12,12.24,386.83,SL
17,long,2025-01-19T13:00:00+00:00,2025-01-19T14:00:00+00:00,0.38,0.39,26456.43,12.17,266.58,Half TP
17,long,2025-01-19T13:00:00+00:00,2025-01-19T15:00:00+00:00,0.38,0.39,26456.43,12.15,245.55,SL
18,long,2025-01-22T22:00:00+00:00,2025-01-23T03:00:00+00:00,0.36,0.35,55669.99,23.73,-467.99,SL
20,long,2025-01-23T13:00:00+00:00,2025-01-23T14:00:00+00:00,0.35,0.36,28513.59,12.1,156.21,Half TP
20,long,2025-01-23T13:00:00+00:00,2025-01-23T15:00:00+00:00,0.35,0.36,28513.59,12.1,157.68,SL
19,short,2025-01-23T01:00:00+00:00,2025-01-23T21:00:00+00:00,0.36,0.34,28011.99,11.77,377.7,Half TP
19,short,2025-01-23T01:00:00+00:00,2025-01-24T05:00:00+00:00,0.36,0.36,28011.99,11.98,18.56,SL
21,short,2025-01-27T18:00:00+00:00,2025-01-27T21:00:00+00:00,0.32,0.33,62751.0,24.57,-969.2,SL
22,long,2025-01-28T15:00:00+00:00,2025-01-28T16:00:00+00:00,0.33,0.33,60047.44,23.81,-345.56,SL
24,long,2025-01-30T13:00:00+00:00,2025-01-30T14:00:00+00:00,0.33,0.34,30026.42,12.08,116.45,Half TP
24,long,2025-01-30T13:00:00+00:00,2025-01-30T15:00:00+00:00,0.33,0.34,30026.42,12.09,129.75,SL
25,long,2025-01-31T11:00:00+00:00,2025-01-31T13:00:00+00:00,0.33,0.33,30195.97,12.06,87.98,Half TP
25,long,2025-01-31T11:00:00+00:00,2025-01-31T14:00:00+00:00,0.33,0.34,30195.97,12.11,173.75,SL
23,short,2025-01-30T00:00:00+00:00,2025-01-31T15:00:00+00:00,0.33,0.34,61210.75,24.48,-820.81,SL
26,short,2025-02-01T06:00:00+00:00,2025-02-01T09:00:00+00:00,0.33,0.32,30502.68,11.86,216.93,Half TP
26,short,2025-02-01T06:00:00+00:00,2025-02-02T00:00:00+00:00,0.33,0.31,30502.68,11.73,444.56,SL
27,long,2025-02-02T05:00:00+00:00,2025-02-02T10:00:00+00:00,0.3,0.3,65860.97,23.76,-416.9,SL
28,long,2025-02-07T09:00:00+00:00,2025-02-07T13:00:00+00:00,0.25,0.26,39547.58,12.11,173.91,Half TP
28,long,2025-02-07T09:00:00+00:00,2025-02-07T14:00:00+00:00,0.25,0.26,39547.58,12.14,219.14,SL
29,long,2025-02-09T16:00:00+00:00,2025-02-09T17:00:00+00:00,0.25,0.25,78721.56,23.84,-286.05,SL
30,short,2025-02-09T18:00:00+00:00,2025-02-09T21:00:00+00:00,0.25,0.25,39824.77,11.86,217.92,Half TP
30,short,2025-02-09T18:00:00+00:00,2025-02-09T22:00:00+00:00,0.25,0.25,39824.77,11.93,107.65,SL
31,long,2025-02-09T23:00:00+00:00,2025-02-10T00:00:00+00:00,0.25,0.25,40202.62,12.1,157.47,Half TP
31,long,2025-02-09T23:00:00+00:00,2025-02-10T01:00:00+00:00,0.25,0.25,40202.62,12.1,162.33,SL
32,long,2025-02-10T03:00:00+00:00,2025-02-10T08:00:00+00:00,0.25,0.25,40327.46,12.12,190.27,Half TP
32,long,2025-02-10T03:00:00+00:00,2025-02-10T09:00:00+00:00,0.25,0.25,40327.46,12.12,189.91,SL
33,long,2025-02-11T04:00:00+00:00,2025-02-11T05:00:00+00:00,0.26,0.26,38277.51,12.09,130.8,Half TP
33,long,2025-02-11T04:00:00+00:00,2025-02-11T06:00:00+00:00,0.26,0.27,38277.51,12.13,205.96,SL
34,long,2025-02-12T17:00:00+00:00,2025-02-12T22:00:00+00:00,0.26,0.27,38377.4,12.11,173.16,Half TP
34,long,2025-02-12T17:00:00+00:00,2025-02-12T23:00:00+00:00,0.26,0.27,38377.4,12.14,224.94,SL
35,long,2025-02-13T15:00:00+00:00,2025-02-13T21:00:00+00:00,0.26,0.26,38857.59,12.09,137.13,Half TP
35,long,2025-02-13T15:00:00+00:00,2025-02-13T22:00:00+00:00,0.26,0.26,38857.59,12.14,216.3,SL
36,long,2025-02-14T16:00:00+00:00,2025-02-14T17:00:00+00:00,0.27,0.28,36406.0,12.1,155.42,Half TP
36,long,2025-02-14T16:00:00+00:00,2025-02-14T18:00:00+00:00,0.27,0.29,36406.0,12.25,404.17,SL
37,long,2025-02-15T13:00:00+00:00,2025-02-15T14:00:00+00:00,0.28,0.27,71851.98,23.79,-375.46,SL
39,long,2025-02-16T15:00:00+00:00,2025-02-16T18:00:00+00:00,0.27,0.26,74760.77,23.84,-283.96,SL
38,short,2025-02-16T03:00:00+00:00,2025-02-17T04:00:00+00:00,0.27,0.26,36912.63,11.84,254.56,Half TP
38,short,2025-02-16T03:00:00+00:00,2025-02-17T10:00:00+00:00,0.27,0.26,36912.63,11.87,207.94,SL
40,long,2025-02-17T09:00:00+00:00,2025-02-17T14:00:00+00:00,0.26,0.27,37927.63,12.08,116.44,Half TP
40,long,2025-02-17T09:00:00+00:00,2025-02-17T15:00:00+00:00,0.26,0.27,37927.63,12.11,163.62,SL
41,short,2025-02-18T04:00:00+00:00,2025-02-18T06:00:00+00:00,0.26,0.25,39077.76,11.84,251.45,Half TP
41,short,2025-02-18T04:00:00+00:00,2025-02-18T14:00:00+00:00,0.26,0.25,39077.76,11.96,46.52,SL
42,long,2025-02-20T14:00:00+00:00,2025-02-20T16:00:00+00:00,0.25,0.25,79113.92,23.87,-247.49,SL
44,short,2025-02-20T22:00:00+00:00,2025-02-21T06:00:00+00:00,0.25,0.25,79233.02,24.05,-109.62,Replace
43,long,2025-02-20T18:00:00+00:00,2025-02-21T09:00:00+00:00,0.25,0.26,39469.53,12.06,94.14,Half TP
43,long,2025-02-20T18:00:00+00:00,2025-02-21T10:00:00+00:00,0.25,0.26,39469.53,12.11,172.2,SL
45,short,2025-02-21T06:00:00+00:00,2025-02-21T13:00:00+00:00,0.25,0.26,78895.46,24.25,-440.5,SL
46,long,2025-02-22T16:00:00+00:00,2025-02-23T15:00:00+00:00,0.25,0.24,81556.09,23.86,-257.44,SL
47,long,2025-02-24T06:00:00+00:00,2025-02-24T08:00:00+00:00,0.23,0.23,85947.57,23.83,-303.65,SL
48,long,2025-02-24T17:00:00+00:00,2025-02-24T19:00:00+00:00,0.23,0.22,88226.21,23.8,-361.99,SL
49,long,2025-02-25T11:00:00+00:00,2025-02-25T15:00:00+00:00,0.21,0.2,96861.68,23.59,-704.88,SL
50,long,2025-02-25T16:00:00+00:00,2025-02-25T20:00:00+00:00,0.21,0.21,48730.57,12.19,308.54,Half TP
50,long,2025-02-25T16:00:00+00:00,2025-02-25T21:00:00+00:00,0.21,0.21,48730.57,12.19,296.34,SL
51,long,2025-02-26T15:00:00+00:00,2025-02-26T17:00:00+00:00,0.21,0.2,95333.43,23.72,-494.71,SL
52,long,2025-02-26T21:00:00+00:00,2025-02-27T06:00:00+00:00,0.2,0.21,48823.36,12.15,240.27,Half TP
52,long,2025-02-26T21:00:00+00:00,2025-02-27T07:00:00+00:00,0.2,0.21,48823.36,12.15,243.65,SL
53,short,2025-02-27T19:00:00+00:00,2025-02-28T01:00:00+00:00,0.2,0.2,48792.39,11.79,344.73,Half TP
53,short,2025-02-27T19:00:00+00:00,2025-02-28T13:00:00+00:00,0.2,0.19,48792.39,11.59,665.28,SL
54,long,2025-02-28T09:00:00+00:00,2025-02-28T14:00:00+00:00,0.19,0.19,53075.74,12.15,245.69,Half TP
54,long,2025-02-28T09:00:00+00:00,2025-02-28T15:00:00+00:00,0.19,0.19,53075.74,12.17,271.98,SL
55,long,2025-03-02T06:00:00+00:00,2025-03-02T14:00:00+00:00,0.21,0.2,96609.02,23.82,-319.39,SL
56,long,2025-03-02T15:00:00+00:00,2025-03-02T16:00:00+00:00,0.21,0.21,47467.6,12.11,171.14,Half TP
56,long,2025-03-02T15:00:00+00:00,2025-03-02T17:00:00+00:00,0.21,0.23,47467.6,12.63,1040.21,SL
57,long,2025-03-04T03:00:00+00:00,2025-03-04T14:00:00+00:00,0.19,0.2,52320.41,12.2,319.94,Half TP
58,short,2025-03-04T13:00:00+00:00,2025-03-04T14:00:00+00:00,0.19,0.2,105915.37,24.65,-1105.35,SL
57,long,2025-03-04T03:00:00+00:00,2025-03-04T15:00:00+00:00,0.19,0.2,52320.41,12.27,438.2,SL
59,long,2025-03-04T17:00:00+00:00,2025-03-04T21:00:00+00:00,0.2,0.2,51012.6,12.18,289.22,Half TP
59,long,2025-03-04T17:00:00+00:00,2025-03-04T22:00:00+00:00,0.2,0.2,51012.6,12.17,277.86,SL
60,long,2025-03-07T02:00:00+00:00,2025-03-07T09:00:00+00:00,0.2,0.2,50743.39,12.14,226.13,Half TP
60,long,2025-03-07T02:00:00+00:00,2025-03-07T10:00:00+00:00,0.2,0.2,50743.39,12.19,304.03,SL
61,long,2025-03-08T18:00:00+00:00,2025-03-09T02:00:00+00:00,0.19,0.19,103241.79,23.79,-371.36,SL
63,long,2025-03-09T07:00:00+00:00,2025-03-09T09:00:00+00:00,0.19,0.19,104520.51,23.83,-312.93,SL
62,short,2025-03-08T22:00:00+00:00,2025-03-09T10:00:00+00:00,0.19,0.19,51843.02,11.83,269.92,Half TP
62,short,2025-03-08T22:00:00+00:00,2025-03-10T02:00:00+00:00,0.19,0.17,51843.02,11.37,1034.46,SL
64,long,2025-03-10T09:00:00+00:00,2025-03-10T14:00:00+00:00,0.17,0.17,114764.45,23.69,-534.15,SL
65,long,2025-03-11T16:00:00+00:00,2025-03-11T18:00:00+00:00,0.16,0.17,61447.71,12.2,313.82,Half TP
65,long,2025-03-11T16:00:00+00:00,2025-03-11T19:00:00+00:00,0.16,0.17,61447.71,12.19,296.63,SL
66,long,2025-03-12T07:00:00+00:00,2025-03-12T12:00:00+00:00,0.17,0.17,60459.49,12.15,237.46,Half TP
66,long,2025-03-12T07:00:00+00:00,2025-03-12T13:00:00+00:00,0.17,0.17,60459.49,12.31,498.72,SL
67,long,2025-03-16T16:00:00+00:00,2025-03-16T22:00:00+00:00,0.17,0.17,117813.38,23.81,-333.02,SL
68,long,2025-03-17T07:00:00+00:00,2025-03-17T09:00:00+00:00,0.17,0.17,57947.5,12.08,121.34,Half TP
68,long,2025-03-17T07:00:00+00:00,2025-03-17T10:00:00+00:00,0.17,0.17,57947.5,12.08,113.68,SL
69,long,2025-03-18T08:00:00+00:00,2025-03-18T11:00:00+00:00,0.17,0.17,118588.79,23.82,-322.02,SL
70,long,2025-03-19T19:00:00+00:00,2025-03-19T22:00:00+00:00,0.17,0.18,57471.26,12.09,144.28,Half TP
70,long,2025-03-19T19:00:00+00:00,2025-03-19T23:00:00+00:00,0.17,0.18,57471.26,12.11,175.09,SL
71,long,2025-03-20T14:00:00+00:00,2025-03-20T15:00:00+00:00,0.17,0.17,115253.85,23.83,-311.25,SL
72,short,2025-03-21T05:00:00+00:00,2025-03-21T13:00:00+00:00,0.17,0.17,59004.01,11.87,201.68,Half TP
72,short,2025-03-21T05:00:00+00:00,2025-03-21T18:00:00+00:00,0.17,0.17,59004.01,11.97,40.2,SL
73,long,2025-03-21T16:00:00+00:00,2025-03-21T21:00:00+00:00,0.17,0.17,59740.73,12.07,105.28,Half TP
73,long,2025-03-21T16:00:00+00:00,2025-03-21T22:00:00+00:00,0.17,0.17,59740.73,12.08,119.14,SL
74,short,2025-03-22T21:00:00+00:00,2025-03-23T07:00:00+00:00,0.17,0.17,119246.36,24.18,-331.08,SL
75,long,2025-03-23T14:00:00+00:00,2025-03-23T15:00:00+00:00,0.17,0.17,58462.44,12.04,59.23,Half TP
75,long,2025-03-23T14:00:00+00:00,2025-03-23T16:00:00+00:00,0.17,0.17,58462.44,12.04,57.38,SL
76,long,2025-03-24T03:00:00+00:00,2025-03-24T04:00:00+00:00,0.17,0.18,57547.33,12.06,81.15,Half TP
76,long,2025-03-24T03:00:00+00:00,2025-03-24T05:00:00+00:00,0.17,0.18,57547.33,12.05,78.9,SL
77,long,2025-03-25T06:00:00+00:00,2025-03-25T09:00:00+00:00,0.18,0.19,54582.17,12.1,151.69,Half TP
77,long,2025-03-25T06:00:00+00:00,2025-03-25T10:00:00+00:00,0.18,0.19,54582.17,12.1,148.14,SL
78,long,2025-03-25T17:00:00+00:00,2025-03-26T01:00:00+00:00,0.19,0.2,52113.19,12.11,163.8,Half TP
78,long,2025-03-25T17:00:00+00:00,2025-03-26T02:00:00+00:00,0.19,0.2,52113.19,12.11,178.12,SL
79,long,2025-03-27T15:00:00+00:00,2025-03-27T17:00:00+00:00,0.19,0.19,104150.39,23.76,-426.68,SL
80,short,2025-03-28T00:00:00+00:00,2025-03-28T04:00:00+00:00,0.19,0.18,52559.66,11.82,291.17,Half TP
81,long,2025-03-29T13:00:00+00:00,2025-03-29T16:00:00+00:00,0.17,0.17,115908.43,23.78,-382.96,SL
80,short,2025-03-28T00:00:00+00:00,2025-03-30T01:00:00+00:00,0.19,0.17,52559.66,11.39,997.59,SL
82,long,2025-03-30T18:00:00+00:00,2025-03-30T21:00:00+00:00,0.17,0.17,117308.93,23.82,-318.32,SL
83,long,2025-03-31T11:00:00+00:00,2025-03-31T12:00:00+00:00,0.16,0.17,61244.49,12.11,167.21,Half TP
83,long,2025-03-31T11:00:00+00:00,2025-03-31T13:00:00+00:00,0.16,0.17,61244.49,12.12,188.26,SL
84,long,2025-04-01T16:00:00+00:00,2025-04-02T02:00:00+00:00,0.17,0.17,115300.36,23.78,-382.17,SL
86,long,2025-04-02T08:00:00+00:00,2025-04-02T09:00:00+00:00,0.17,0.17,58688.89,12.08,127.13,Half TP
86,long,2025-04-02T08:00:00+00:00,2025-04-02T10:00:00+00:00,0.17,0.17,58688.89,12.09,132.26,SL
85,short,2025-04-01T18:00:00+00:00,2025-04-02T15:00:00+00:00,0.17,0.18,116427.99,24.41,-701.84,SL
87,long,2025-04-02T20:00:00+00:00,2025-04-02T22:00:00+00:00,0.17,0.17,116231.77,23.73,-470.43,SL
88,long,2025-04-03T16:00:00+00:00,2025-04-03T21:00:00+00:00,0.16,0.16,63467.89,12.12,188.15,Half TP
88,long,2025-04-03T16:00:00+00:00,2025-04-03T22:00:00+00:00,0.16,0.16,63467.89,12.14,213.92,SL
89,long,2025-04-04T14:00:00+00:00,2025-04-04T15:00:00+00:00,0.17,0.17,59513.18,12.11,164.16,Half TP
89,long,2025-04-04T14:00:00+00:00,2025-04-04T16:00:00+00:00,0.17,0.17,59513.18,12.12,180.65,SL
90,short,2025-04-06T02:00:00+00:00,2025-04-06T08:00:00+00:00,0.17,0.16,59726.45,11.89,175.51,Half TP
90,short,2025-04-06T02:00:00+00:00,2025-04-07T08:00:00+00:00,0.17,0.14,59726.45,10.97,1713.03,SL
91,short,2025-04-08T10:00:00+00:00,2025-04-08T17:00:00+00:00,0.15,0.14,66269.05,11.73,431.15,Half TP
92,long,2025-04-09T02:00:00+00:00,2025-04-09T05:00:00+00:00,0.14,0.14,71469.41,12.15,242.5,Half TP
91,short,2025-04-08T10:00:00+00:00,2025-04-09T05:00:00+00:00,0.15,0.14,66269.05,11.72,459.89,SL
92,long,2025-04-09T02:00:00+00:00,2025-04-09T06:00:00+00:00,0.14,0.14,71469.41,12.18,286.07,SL
93,long,2025-04-09T13:00:00+00:00,2025-04-09T17:00:00+00:00,0.15,0.15,68175.62,12.14,226.05,Half TP
93,long,2025-04-09T13:00:00+00:00,2025-04-09T18:00:00+00:00,0.15,0.16,68175.62,12.59,971.21,SL
