id,direction,entry_time,exit_time,entry_price,exit_price,size,fee,pnl,reason
1,short,2024-01-02T10:00:00+00:00,2024-01-02T11:00:00+00:00,2400.88,2397.14,4.17,11.99,3.6,Half TP
1,short,2024-01-02T10:00:00+00:00,2024-01-02T12:00:00+00:00,2400.88,2383.9,4.17,11.96,58.75,SL
2,short,2024-01-03T07:00:00+00:00,2024-01-03T11:00:00+00:00,2362.18,2358.74,4.23,11.99,2.56,Half TP
2,short,2024-01-03T07:00:00+00:00,2024-01-03T12:00:00+00:00,2362.18,2292.12,4.23,11.82,284.77,SL
3,short,2024-01-05T11:00:00+00:00,2024-01-05T12:00:00+00:00,2241.33,2237.37,4.46,11.99,5.7,Half TP
3,short,2024-01-05T11:00:00+00:00,2024-01-05T13:00:00+00:00,2241.33,2235.98,4.46,11.99,11.89,SL
4,short,2024-01-07T15:00:00+00:00,2024-01-07T16:00:00+00:00,2229.34,2226.73,4.49,11.99,-0.31,Half TP
4,short,2024-01-07T15:00:00+00:00,2024-01-07T17:00:00+00:00,2229.34,2221.17,4.49,11.98,24.68,SL
5,short,2024-01-07T22:00:00+00:00,2024-01-07T23:00:00+00:00,2214.61,2211.71,4.52,11.99,1.1,Half TP
5,short,2024-01-07T22:00:00+00:00,2024-01-08T00:00:00+00:00,2214.61,2204.39,4.52,11.97,34.19,SL
6,long,2024-01-08T04:00:00+00:00,2024-01-08T12:00:00+00:00,2195.76,2248.67,4.55,12.14,228.8,Half TP
6,long,2024-01-08T04:00:00+00:00,2024-01-08T14:00:00+00:00,2195.76,2260.66,4.55,12.18,283.38,SL
7,short,2024-01-09T12:00:00+00:00,2024-01-09T14:00:00+00:00,2262.94,2258.34,4.42,11.99,8.35,Half TP
7,short,2024-01-09T12:00:00+00:00,2024-01-09T15:00:00+00:00,2262.94,2243.54,4.42,11.95,73.76,SL
8,long,2024-01-09T13:00:00+00:00,2024-01-09T21:00:00+00:00,2274.89,2341.88,4.4,12.18,282.28,Half TP
8,long,2024-01-09T13:00:00+00:00,2024-01-09T22:00:00+00:00,2274.89,2353.88,4.4,12.21,335.03,SL
10,short,2024-01-10T11:00:00+00:00,2024-01-10T12:00:00+00:00,2402.37,2395.92,4.16,11.98,14.85,Half TP
10,short,2024-01-10T11:00:00+00:00,2024-01-10T13:00:00+00:00,2402.37,2345.72,4.16,11.86,223.95,SL
9,long,2024-01-10T09:00:00+00:00,2024-01-10T21:00:00+00:00,2425.67,2520.7,4.12,12.23,379.51,Half TP
9,long,2024-01-10T09:00:00+00:00,2024-01-11T00:00:00+00:00,2425.67,2609.9,4.12,12.46,747.06,SL
