id,direction,entry_time,exit_time,entry_price,exit_price,size,fee,pnl,reason
1,short,2024-01-03T07:00:00+00:00,2024-01-03T11:00:00+00:00,15.31,15.01,653.08,11.88,186.36,Half TP
1,short,2024-01-03T07:00:00+00:00,2024-01-03T12:00:00+00:00,15.31,14.85,653.08,11.82,290.88,SL
2,short,2024-01-06T02:00:00+00:00,2024-01-06T05:00:00+00:00,13.88,13.49,720.62,11.83,266.38,Half TP
2,short,2024-01-06T02:00:00+00:00,2024-01-06T06:00:00+00:00,13.88,13.37,720.62,11.78,354.39,SL
3,short,2024-01-06T19:00:00+00:00,2024-01-07T22:00:00+00:00,13.52,13.19,739.92,11.86,225.48,Half TP
3,short,2024-01-06T19:00:00+00:00,2024-01-07T23:00:00+00:00,13.52,13.05,739.92,11.79,332.84,SL
4,long,2024-01-08T04:00:00+00:00,2024-01-08T18:00:00+00:00,13.11,13.85,762.66,12.34,550.25,Half TP
4,long,2024-01-08T04:00:00+00:00,2024-01-09T00:00:00+00:00,13.11,14.09,762.66,12.45,736.38,SL
6,short,2024-01-10T02:00:00+00:00,2024-01-10T09:00:00+00:00,13.58,14.08,1473.3,24.44,-765.35,SL
5,long,2024-01-09T13:00:00+00:00,2024-01-10T10:00:00+00:00,13.72,14.44,728.97,12.32,516.74,Half TP
5,long,2024-01-09T13:00:00+00:00,2024-01-10T11:00:00+00:00,13.72,14.12,728.97,12.18,281.98,SL
7,long,2024-01-14T02:00:00+00:00,2024-01-14T05:00:00+00:00,14.47,14.93,691.08,12.19,302.65,Half TP
7,long,2024-01-14T02:00:00+00:00,2024-01-14T07:00:00+00:00,14.47,15.0,691.08,12.22,353.29,SL
9,long,2024-01-16T15:00:00+00:00,2024-01-17T01:00:00+00:00,15.06,15.65,664.19,12.23,379.23,Half TP
8,short,2024-01-16T06:00:00+00:00,2024-01-17T01:00:00+00:00,15.08,15.5,1326.7,24.34,-584.06,SL
9,long,2024-01-16T15:00:00+00:00,2024-01-17T07:00:00+00:00,15.06,15.75,664.19,12.28,450.2,SL
11,long,2024-01-21T08:00:00+00:00,2024-01-22T03:00:00+00:00,15.7,15.57,1274.05,23.9,-183.16,Replace
10,short,2024-01-21T05:00:00+00:00,2024-01-22T05:00:00+00:00,15.56,15.94,1285.18,24.29,-515.66,SL
12,long,2024-01-22T03:00:00+00:00,2024-01-22T10:00:00+00:00,15.57,15.04,1284.27,23.59,-714.44,SL
13,short,2024-01-24T02:00:00+00:00,2024-01-25T12:00:00+00:00,14.12,13.69,708.32,11.82,291.57,Half TP
13,short,2024-01-24T02:00:00+00:00,2024-01-25T13:00:00+00:00,14.12,13.64,708.32,11.8,325.77,SL
14,short,2024-01-26T00:00:00+00:00,2024-01-26T05:00:00+00:00,13.74,13.82,1455.82,24.07,-141.99,Replace
16,long,2024-01-26T06:00:00+00:00,2024-01-26T11:00:00+00:00,13.79,14.18,725.32,12.17,276.46,Half TP
15,short,2024-01-26T05:00:00+00:00,2024-01-26T11:00:00+00:00,13.82,14.08,1447.28,24.23,-406.32,SL
16,long,2024-01-26T06:00:00+00:00,2024-01-26T13:00:00+00:00,13.79,14.0,725.32,12.09,145.77,SL
17,long,2024-01-29T15:00:00+00:00,2024-01-30T11:00:00+00:00,14.7,15.21,680.46,12.21,340.11,Half TP
17,long,2024-01-29T15:00:00+00:00,2024-01-30T12:00:00+00:00,14.7,15.06,680.46,12.15,235.17,SL
18,short,2024-02-01T10:00:00+00:00,2024-02-01T13:00:00+00:00,15.57,16.04,1284.85,24.36,-630.35,SL
19,short,2024-02-03T13:00:00+00:00,2024-02-04T14:00:00+00:00,17.84,18.35,1121.39,24.35,-604.97,SL
20,short,2024-02-06T04:00:00+00:00,2024-02-06T16:00:00+00:00,18.93,18.4,528.35,11.83,264.72,Half TP
20,short,2024-02-06T04:00:00+00:00,2024-02-06T17:00:00+00:00,18.93,18.35,528.35,11.82,291.72,SL
21,short,2024-02-09T10:00:00+00:00,2024-02-10T01:00:00+00:00,18.27,18.51,1094.51,24.15,-280.27,Replace
22,short,2024-02-10T01:00:00+00:00,2024-02-10T10:00:00+00:00,18.51,18.1,540.34,11.87,209.49,Half TP
22,short,2024-02-10T01:00:00+00:00,2024-02-10T11:00:00+00:00,18.51,17.99,540.34,11.83,266.49,SL
23,short,2024-02-12T23:00:00+00:00,2024-02-13T13:00:00+00:00,20.46,19.94,488.69,11.85,242.64,Half TP
23,short,2024-02-12T23:00:00+00:00,2024-02-13T14:00:00+00:00,20.46,19.42,488.69,11.69,498.99,SL
24,short,2024-02-14T04:00:00+00:00,2024-02-14T09:00:00+00:00,19.92,20.38,1003.86,24.27,-480.22,SL
26,short,2024-02-15T21:00:00+00:00,2024-02-16T06:00:00+00:00,19.8,20.27,1010.1,24.29,-499.97,SL
25,long,2024-02-15T09:00:00+00:00,2024-02-16T14:00:00+00:00,20.16,19.56,992.21,23.64,-620.33,SL
27,short,2024-02-17T05:00:00+00:00,2024-02-17T12:00:00+00:00,19.47,19.83,1027.12,24.22,-396.85,SL
28,short,2024-02-18T07:00:00+00:00,2024-02-18T22:00:00+00:00,19.99,20.38,1000.35,24.23,-409.11,SL
29,short,2024-02-19T01:00:00+00:00,2024-02-19T14:00:00+00:00,20.07,19.71,498.21,11.89,167.71,Half TP
29,short,2024-02-19T01:00:00+00:00,2024-02-19T15:00:00+00:00,20.07,19.67,498.21,11.88,189.23,SL
