id,direction,entry_time,exit_time,entry_price,exit_price,size,fee,pnl,reason
1,short,2024-01-03T10:00:00+00:00,2024-01-03T11:00:00+00:00,107.43,104.12,93.08,11.81,296.61,Half TP
1,short,2024-01-03T10:00:00+00:00,2024-01-03T13:00:00+00:00,107.43,91.26,93.08,11.1,1493.97,SL
2,long,2024-01-04T13:00:00+00:00,2024-01-04T19:00:00+00:00,100.01,105.61,99.99,12.34,548.04,Half TP
2,long,2024-01-04T13:00:00+00:00,2024-01-04T20:00:00+00:00,100.01,106.56,99.99,12.39,642.6,SL
4,long,2024-01-05T13:00:00+00:00,2024-01-05T16:00:00+00:00,100.77,95.57,198.47,23.38,-1055.14,SL
3,short,2024-01-05T11:00:00+00:00,2024-01-05T17:00:00+00:00,99.71,95.77,100.29,11.76,383.55,Half TP
5,long,2024-01-05T18:00:00+00:00,2024-01-06T06:00:00+00:00,98.04,92.48,203.99,23.32,-1158.11,SL
6,long,2024-01-06T14:00:00+00:00,2024-01-07T01:00:00+00:00,96.0,94.22,208.34,23.78,-392.94,Replace
3,short,2024-01-05T11:00:00+00:00,2024-01-07T13:00:00+00:00,99.71,96.23,100.29,11.79,337.69,SL
7,long,2024-01-07T01:00:00+00:00,2024-01-07T22:00:00+00:00,94.22,89.8,212.26,23.44,-963.16,SL
8,short,2024-01-07T15:00:00+00:00,2024-01-07T23:00:00+00:00,94.06,90.8,106.32,11.79,334.02,Half TP
8,short,2024-01-07T15:00:00+00:00,2024-01-08T11:00:00+00:00,94.06,91.23,106.32,11.82,288.87,SL
10,short,2024-01-09T22:00:00+00:00,2024-01-10T12:00:00+00:00,99.59,94.01,100.41,11.66,548.95,Half TP
9,long,2024-01-09T21:00:00+00:00,2024-01-10T16:00:00+00:00,96.29,94.59,207.71,23.79,-376.84,Replace
11,long,2024-01-10T16:00:00+00:00,2024-01-10T21:00:00+00:00,94.59,99.82,105.72,12.33,541.11,Half TP
10,short,2024-01-09T22:00:00+00:00,2024-01-10T21:00:00+00:00,99.59,98.7,100.41,11.95,77.45,SL
11,long,2024-01-10T16:00:00+00:00,2024-01-10T22:00:00+00:00,94.59,101.44,105.72,12.43,712.08,SL
12,long,2024-01-12T14:00:00+00:00,2024-01-12T16:00:00+00:00,98.44,94.01,203.17,23.46,-923.57,SL
14,short,2024-01-15T22:00:00+00:00,2024-01-16T05:00:00+00:00,94.27,96.43,212.16,24.28,-482.82,SL
13,long,2024-01-15T16:00:00+00:00,2024-01-16T07:00:00+00:00,94.61,98.12,105.69,12.22,358.44,Half TP
13,long,2024-01-15T16:00:00+00:00,2024-01-16T08:00:00+00:00,94.61,97.96,105.69,12.21,341.6,SL
15,long,2024-01-16T16:00:00+00:00,2024-01-17T01:00:00+00:00,97.12,100.29,102.97,12.2,314.67,Half TP
15,long,2024-01-16T16:00:00+00:00,2024-01-17T02:00:00+00:00,97.12,100.64,102.97,12.22,350.47,SL
16,short,2024-01-17T15:00:00+00:00,2024-01-17T21:00:00+00:00,99.35,102.07,201.31,24.33,-571.34,SL
17,long,2024-01-19T18:00:00+00:00,2024-01-22T03:00:00+00:00,93.1,88.63,214.82,23.42,-983.55,SL
18,short,2024-01-22T15:00:00+00:00,2024-01-22T18:00:00+00:00,87.36,84.86,114.47,11.83,274.11,Half TP
18,short,2024-01-22T15:00:00+00:00,2024-01-23T17:00:00+00:00,87.36,83.9,114.47,11.76,384.6,SL
19,long,2024-01-23T15:00:00+00:00,2024-01-24T07:00:00+00:00,82.57,86.69,121.1,12.3,486.69,Half TP
19,long,2024-01-23T15:00:00+00:00,2024-01-24T09:00:00+00:00,82.57,86.5,121.1,12.29,463.44,SL
20,long,2024-01-25T18:00:00+00:00,2024-01-26T10:00:00+00:00,86.58,89.96,115.49,12.23,377.85,Half TP
20,long,2024-01-25T18:00:00+00:00,2024-01-26T11:00:00+00:00,86.58,90.47,115.49,12.27,436.74,SL
21,long,2024-01-27T10:00:00+00:00,2024-01-27T23:00:00+00:00,91.86,94.37,108.86,12.16,260.9,Half TP
21,long,2024-01-27T10:00:00+00:00,2024-01-28T00:00:00+00:00,91.86,94.31,108.86,12.16,254.39,SL
22,long,2024-01-28T22:00:00+00:00,2024-01-29T03:00:00+00:00,94.81,97.99,105.48,12.2,323.34,Half TP
22,long,2024-01-28T22:00:00+00:00,2024-01-29T04:00:00+00:00,94.81,98.69,105.48,12.25,397.93,SL
