id,direction,entry_time,exit_time,entry_price,exit_price,size,fee,pnl,reason
1,short,2024-01-01T18:00:00+00:00,2024-01-01T22:00:00+00:00,1.34,1.37,14976.79,24.34,-595.42,SL
2,short,2024-01-02T00:00:00+00:00,2024-01-02T14:00:00+00:00,1.37,1.32,7280.14,11.75,396.72,Half TP
2,short,2024-01-02T00:00:00+00:00,2024-01-02T15:00:00+00:00,1.37,1.29,7280.14,11.63,600.25,SL
3,short,2024-01-05T16:00:00+00:00,2024-01-08T01:00:00+00:00,1.06,1.0,9395.85,11.64,594.95,Half TP
3,short,2024-01-05T16:00:00+00:00,2024-01-08T02:00:00+00:00,1.06,1.0,9395.85,11.64,593.73,SL
4,short,2024-01-11T01:00:00+00:00,2024-01-11T05:00:00+00:00,1.17,1.18,17160.02,24.15,-274.69,Replace
5,short,2024-01-11T05:00:00+00:00,2024-01-12T17:00:00+00:00,1.18,1.1,8473.86,11.61,636.15,Half TP
5,short,2024-01-11T05:00:00+00:00,2024-01-12T18:00:00+00:00,1.18,1.1,8473.86,11.58,683.49,SL
6,short,2024-01-18T16:00:00+00:00,2024-01-18T19:00:00+00:00,1.06,1.01,9476.88,11.75,403.38,Half TP
6,short,2024-01-18T16:00:00+00:00,2024-01-18T20:00:00+00:00,1.06,1.01,9476.88,11.75,401.02,SL
7,short,2024-01-21T00:00:00+00:00,2024-01-21T11:00:00+00:00,1.15,1.19,17423.12,24.43,-746.81,SL
8,short,2024-01-21T13:00:00+00:00,2024-01-22T02:00:00+00:00,1.18,1.13,8444.52,11.7,482.57,Half TP
8,short,2024-01-21T13:00:00+00:00,2024-01-22T03:00:00+00:00,1.18,1.12,8444.52,11.67,536.45,SL
9,long,2024-01-22T20:00:00+00:00,2024-01-23T09:00:00+00:00,1.08,1.03,18455.29,23.43,-966.38,SL
10,long,2024-01-28T21:00:00+00:00,2024-01-29T19:00:00+00:00,1.1,1.13,9095.04,12.17,270.77,Half TP
10,long,2024-01-28T21:00:00+00:00,2024-01-30T23:00:00+00:00,1.1,1.11,9095.04,12.06,94.71,SL
11,short,2024-01-31T08:00:00+00:00,2024-01-31T15:00:00+00:00,1.09,1.06,9159.19,11.83,269.23,Half TP
11,short,2024-01-31T08:00:00+00:00,2024-01-31T16:00:00+00:00,1.09,1.06,9159.19,11.82,286.88,SL
12,short,2024-02-04T22:00:00+00:00,2024-02-05T08:00:00+00:00,1.05,1.07,19011.41,24.19,-332.65,SL
13,short,2024-02-16T02:00:00+00:00,2024-02-17T14:00:00+00:00,1.29,1.22,7726.18,11.68,525.82,Half TP
13,short,2024-02-16T02:00:00+00:00,2024-02-17T15:00:00+00:00,1.29,1.19,7726.18,11.52,782.99,SL
14,long,2024-02-17T17:00:00+00:00,2024-02-19T03:00:00+00:00,1.23,1.28,8126.78,12.26,416.82,Half TP
14,long,2024-02-17T17:00:00+00:00,2024-02-19T08:00:00+00:00,1.23,1.27,8126.78,12.21,340.15,SL
16,short,2024-02-21T14:00:00+00:00,2024-02-22T06:00:00+00:00,1.22,1.26,16441.96,24.48,-818.55,SL
15,long,2024-02-21T12:00:00+00:00,2024-02-22T17:00:00+00:00,1.25,1.32,8011.54,12.35,566.49,Half TP
15,long,2024-02-21T12:00:00+00:00,2024-02-22T20:00:00+00:00,1.25,1.39,8011.54,12.68,1125.61,SL
17,short,2024-02-28T17:00:00+00:00,2024-02-29T05:00:00+00:00,1.44,1.54,13865.78,24.81,-1380.39,SL
18,long,2024-02-29T13:00:00+00:00,2024-02-29T16:00:00+00:00,1.55,1.65,6470.4,12.39,633.94,Half TP
18,long,2024-02-29T13:00:00+00:00,2024-02-29T21:00:00+00:00,1.55,1.53,6470.4,11.94,-104.91,SL
19,long,2024-03-04T02:00:00+00:00,2024-03-04T15:00:00+00:00,1.77,1.71,11307.1,23.63,-641.0,Replace
20,long,2024-03-04T15:00:00+00:00,2024-03-04T19:00:00+00:00,1.71,1.68,11667.25,23.74,-464.76,Replace
21,short,2024-03-04T17:00:00+00:00,2024-03-05T01:00:00+00:00,1.62,1.71,12319.06,24.65,-1110.25,SL
22,long,2024-03-04T19:00:00+00:00,2024-03-05T09:00:00+00:00,1.68,1.81,5965.16,12.47,772.09,Half TP
22,long,2024-03-04T19:00:00+00:00,2024-03-05T16:00:00+00:00,1.68,1.73,5965.16,12.2,313.24,SL
23,short,2024-03-05T19:00:00+00:00,2024-03-06T00:00:00+00:00,1.57,1.73,12751.85,25.24,-2089.53,SL
24,long,2024-03-12T18:00:00+00:00,2024-03-13T02:00:00+00:00,1.96,2.1,5093.47,12.43,701.52,Half TP
24,long,2024-03-12T18:00:00+00:00,2024-03-13T10:00:00+00:00,1.96,2.03,5093.47,12.2,329.09,SL
25,long,2024-03-13T16:00:00+00:00,2024-03-15T03:00:00+00:00,2.01,1.89,9954.71,23.28,-1225.83,SL
26,short,2024-03-17T06:00:00+00:00,2024-03-17T19:00:00+00:00,1.72,1.81,11611.7,24.62,-1057.86,SL
