id,direction,entry_time,exit_time,entry_price,exit_price,size,fee,pnl,reason
1,short,2024-05-04T02:00:00+00:00,2024-05-04T11:00:00+00:00,428.44,453.6,46.68,24.7,-1199.4,SL
2,short,2024-05-05T19:00:00+00:00,2024-05-06T12:00:00+00:00,464.17,449.87,21.54,11.82,296.18,Half TP
2,short,2024-05-05T19:00:00+00:00,2024-05-06T13:00:00+00:00,464.17,445.43,21.54,11.76,391.99,SL
3,short,2024-05-08T06:00:00+00:00,2024-05-08T11:00:00+00:00,417.42,404.41,23.96,11.81,299.81,Half TP
4,long,2024-05-08T10:00:00+00:00,2024-05-08T12:00:00+00:00,408.96,388.97,48.9,23.41,-1000.8,SL
3,short,2024-05-08T06:00:00+00:00,2024-05-08T14:00:00+00:00,417.42,376.45,23.96,11.41,970.06,SL
5,short,2024-05-10T08:00:00+00:00,2024-05-10T14:00:00+00:00,392.66,380.9,25.47,11.82,287.79,Half TP
5,short,2024-05-10T08:00:00+00:00,2024-05-10T15:00:00+00:00,392.66,367.58,25.47,11.62,627.08,SL
6,short,2024-05-13T01:00:00+00:00,2024-05-13T02:00:00+00:00,352.15,342.73,28.4,11.84,255.8,Half TP
6,short,2024-05-13T01:00:00+00:00,2024-05-13T03:00:00+00:00,352.15,342.02,28.4,11.83,275.8,SL
7,long,2024-05-13T04:00:00+00:00,2024-05-13T06:00:00+00:00,347.69,358.34,28.76,12.18,294.07,Half TP
7,long,2024-05-13T04:00:00+00:00,2024-05-13T07:00:00+00:00,347.69,359.83,28.76,12.21,336.83,SL
8,short,2024-05-14T07:00:00+00:00,2024-05-14T14:00:00+00:00,347.52,337.06,28.78,11.82,289.18,Half TP
8,short,2024-05-14T07:00:00+00:00,2024-05-14T15:00:00+00:00,347.52,333.78,28.78,11.76,383.72,SL
9,long,2024-05-14T13:00:00+00:00,2024-05-15T09:00:00+00:00,341.7,352.24,29.27,12.19,296.4,Half TP
9,long,2024-05-14T13:00:00+00:00,2024-05-15T10:00:00+00:00,341.7,354.51,29.27,12.22,362.54,SL
11,short,2024-05-17T09:00:00+00:00,2024-05-19T09:00:00+00:00,380.15,385.87,52.61,24.18,-325.11,Replace
12,short,2024-05-19T09:00:00+00:00,2024-05-19T12:00:00+00:00,385.87,377.66,25.92,11.87,200.84,Half TP
10,long,2024-05-15T20:00:00+00:00,2024-05-19T13:00:00+00:00,392.7,371.23,50.93,23.34,-1116.56,SL
12,short,2024-05-19T09:00:00+00:00,2024-05-19T15:00:00+00:00,385.87,368.3,25.92,11.73,443.53,SL
13,long,2024-05-20T16:00:00+00:00,2024-05-20T17:00:00+00:00,393.0,404.7,25.45,12.18,285.48,Half TP
13,long,2024-05-20T16:00:00+00:00,2024-05-20T18:00:00+00:00,393.0,404.01,25.45,12.17,268.04,SL
14,short,2024-05-20T21:00:00+00:00,2024-05-21T01:00:00+00:00,405.87,390.65,24.64,11.78,363.12,Half TP
14,short,2024-05-20T21:00:00+00:00,2024-05-21T02:00:00+00:00,405.87,390.7,24.64,11.78,362.01,SL
15,long,2024-05-21T04:00:00+00:00,2024-05-21T09:00:00+00:00,412.52,430.24,24.24,12.26,417.4,Half TP
15,long,2024-05-21T04:00:00+00:00,2024-05-21T10:00:00+00:00,412.52,436.01,24.24,12.34,557.13,SL
16,short,2024-05-26T08:00:00+00:00,2024-05-26T13:00:00+00:00,424.3,438.69,47.14,24.41,-702.8,SL
17,short,2024-05-28T12:00:00+00:00,2024-05-29T07:00:00+00:00,423.48,412.09,23.61,11.84,257.09,Half TP
17,short,2024-05-28T12:00:00+00:00,2024-05-29T08:00:00+00:00,423.48,410.61,23.61,11.82,292.17,SL
18,short,2024-05-31T09:00:00+00:00,2024-05-31T14:00:00+00:00,387.56,389.64,51.6,24.06,-131.4,Replace
19,short,2024-05-31T14:00:00+00:00,2024-05-31T16:00:00+00:00,389.64,380.18,25.66,11.85,230.81,Half TP
19,short,2024-05-31T14:00:00+00:00,2024-05-31T17:00:00+00:00,389.64,379.44,25.66,11.84,249.91,SL
20,short,2024-06-02T10:00:00+00:00,2024-06-02T18:00:00+00:00,390.73,382.3,25.59,11.87,203.95,Half TP
20,short,2024-06-02T10:00:00+00:00,2024-06-02T19:00:00+00:00,390.73,379.66,25.59,11.83,271.47,SL
21,short,2024-06-03T14:00:00+00:00,2024-06-03T17:00:00+00:00,376.28,379.92,53.15,24.12,-217.59,Replace
