id,direction,entry_time,exit_time,entry_price,exit_price,size,fee,pnl,reason
1,short,2024-01-01T17:00:00+00:00,2024-01-01T21:00:00+00:00,7.5,7.55,2666.31,24.08,-162.73,Replace
2,short,2024-01-01T21:00:00+00:00,2024-01-02T03:00:00+00:00,7.55,7.64,2647.95,24.14,-251.86,Replace
3,short,2024-01-02T03:00:00+00:00,2024-01-02T11:00:00+00:00,7.64,7.48,1309.07,11.88,192.77,Half TP
3,short,2024-01-02T03:00:00+00:00,2024-01-02T12:00:00+00:00,7.64,7.47,1309.07,11.87,212.75,SL
4,short,2024-01-03T11:00:00+00:00,2024-01-03T12:00:00+00:00,7.1,6.91,1407.99,11.84,251.98,Half TP
4,short,2024-01-03T11:00:00+00:00,2024-01-03T13:00:00+00:00,7.1,5.71,1407.99,10.82,1953.44,SL
5,short,2024-01-04T16:00:00+00:00,2024-01-05T01:00:00+00:00,6.66,6.46,1500.58,11.82,295.76,Half TP
5,short,2024-01-04T16:00:00+00:00,2024-01-05T02:00:00+00:00,6.66,6.29,1500.58,11.66,554.33,SL
6,short,2024-01-05T10:00:00+00:00,2024-01-05T17:00:00+00:00,6.4,6.18,1563.72,11.8,321.51,Half TP
6,short,2024-01-05T10:00:00+00:00,2024-01-05T18:00:00+00:00,6.4,6.17,1563.72,11.79,342.85,SL
7,short,2024-01-07T08:00:00+00:00,2024-01-07T15:00:00+00:00,6.34,6.2,1576.29,11.87,213.07,Half TP
7,short,2024-01-07T08:00:00+00:00,2024-01-07T16:00:00+00:00,6.34,6.17,1576.29,11.84,258.8,SL
8,short,2024-01-09T00:00:00+00:00,2024-01-09T09:00:00+00:00,6.18,5.99,1619.43,11.82,293.2,Half TP
8,short,2024-01-09T00:00:00+00:00,2024-01-09T10:00:00+00:00,6.18,5.97,1619.43,11.8,327.92,SL
10,long,2024-01-10T16:00:00+00:00,2024-01-10T19:00:00+00:00,6.14,6.27,1629.99,12.13,211.2,Half TP
10,long,2024-01-10T16:00:00+00:00,2024-01-10T20:00:00+00:00,6.14,6.34,1629.99,12.2,318.67,SL
9,short,2024-01-10T12:00:00+00:00,2024-01-10T21:00:00+00:00,6.0,6.35,3330.56,24.7,-1183.73,SL
11,short,2024-01-11T00:00:00+00:00,2024-01-11T14:00:00+00:00,6.65,6.93,3008.7,24.51,-875.07,Replace
12,short,2024-01-11T14:00:00+00:00,2024-01-11T15:00:00+00:00,6.93,6.67,1442.98,11.78,362.59,Half TP
12,short,2024-01-11T14:00:00+00:00,2024-01-11T16:00:00+00:00,6.93,6.63,1442.98,11.74,423.25,SL
13,short,2024-01-12T16:00:00+00:00,2024-01-12T22:00:00+00:00,6.63,6.35,1507.61,11.74,415.74,Half TP
13,short,2024-01-12T16:00:00+00:00,2024-01-12T23:00:00+00:00,6.63,6.31,1507.61,11.7,482.57,SL
14,short,2024-01-13T01:00:00+00:00,2024-01-15T12:00:00+00:00,6.5,6.62,3078.11,24.23,-405.91,Replace
16,long,2024-01-15T18:00:00+00:00,2024-01-16T00:00:00+00:00,6.65,6.74,1503.99,12.08,129.46,Half TP
16,long,2024-01-15T18:00:00+00:00,2024-01-16T01:00:00+00:00,6.65,6.77,1503.99,12.11,173.0,SL
15,short,2024-01-15T12:00:00+00:00,2024-01-16T04:00:00+00:00,6.62,6.86,3020.46,24.43,-743.33,SL
17,short,2024-01-16T06:00:00+00:00,2024-01-16T19:00:00+00:00,6.81,6.84,2936.86,24.05,-100.4,Replace
19,short,2024-01-16T19:00:00+00:00,2024-01-17T22:00:00+00:00,6.84,6.67,1462.84,11.86,223.92,Half TP
19,short,2024-01-16T19:00:00+00:00,2024-01-17T23:00:00+00:00,6.84,6.66,1462.84,11.85,238.37,SL
18,long,2024-01-16T16:00:00+00:00,2024-01-18T10:00:00+00:00,6.86,6.61,2914.43,23.56,-751.49,SL
20,short,2024-01-18T16:00:00+00:00,2024-01-18T19:00:00+00:00,6.41,6.24,1560.79,11.84,249.15,Half TP
20,short,2024-01-18T16:00:00+00:00,2024-01-18T20:00:00+00:00,6.41,6.24,1560.79,11.85,243.82,SL
