id,direction,entry_time,exit_time,entry_price,exit_price,size,fee,pnl,reason
1,long,2025-01-02T01:00:00+00:00,2025-01-02T03:00:00+00:00,58.42,60.81,171.17,12.25,397.13,Half TP
1,long,2025-01-02T01:00:00+00:00,2025-01-02T04:00:00+00:00,58.42,60.03,171.17,12.17,263.51,SL
2,long,2025-01-03T00:00:00+00:00,2025-01-03T02:00:00+00:00,58.94,57.89,339.33,23.79,-378.77,SL
3,short,2025-01-03T01:00:00+00:00,2025-01-03T05:00:00+00:00,58.82,56.85,170.01,11.8,323.45,Half TP
3,short,2025-01-03T01:00:00+00:00,2025-01-03T06:00:00+00:00,58.82,56.93,170.01,11.81,310.13,SL
4,short,2025-01-04T17:00:00+00:00,2025-01-05T09:00:00+00:00,59.47,57.64,168.15,11.82,295.57,Half TP
4,short,2025-01-04T17:00:00+00:00,2025-01-05T10:00:00+00:00,59.47,57.56,168.15,11.81,309.8,SL
5,long,2025-01-05T15:00:00+00:00,2025-01-06T15:00:00+00:00,57.86,60.14,172.83,12.24,381.04,Half TP
5,long,2025-01-05T15:00:00+00:00,2025-01-06T17:00:00+00:00,57.86,60.68,172.83,12.29,474.53,SL
6,short,2025-01-06T18:00:00+00:00,2025-01-06T23:00:00+00:00,59.53,60.13,335.97,24.12,-225.28,SL
7,long,2025-01-07T12:00:00+00:00,2025-01-07T14:00:00+00:00,57.0,56.0,350.88,23.79,-374.58,SL
8,long,2025-01-08T08:00:00+00:00,2025-01-08T15:00:00+00:00,51.46,50.28,388.65,23.72,-483.85,SL
9,long,2025-01-08T18:00:00+00:00,2025-01-09T13:00:00+00:00,49.36,48.08,405.19,23.69,-540.67,SL
10,short,2025-01-09T03:00:00+00:00,2025-01-09T14:00:00+00:00,49.87,47.88,200.52,11.76,387.56,Half TP
10,short,2025-01-09T03:00:00+00:00,2025-01-09T15:00:00+00:00,49.87,47.67,200.52,11.74,429.64,SL
11,short,2025-01-11T17:00:00+00:00,2025-01-11T20:00:00+00:00,47.46,47.82,421.41,24.09,-177.72,SL
12,long,2025-01-13T00:00:00+00:00,2025-01-13T01:00:00+00:00,48.83,48.15,409.58,23.83,-302.46,SL
13,short,2025-01-13T02:00:00+00:00,2025-01-13T06:00:00+00:00,47.3,45.84,211.42,11.81,297.49,Half TP
13,short,2025-01-13T02:00:00+00:00,2025-01-13T07:00:00+00:00,47.3,45.76,211.42,11.81,312.83,SL
14,long,2025-01-13T13:00:00+00:00,2025-01-13T20:00:00+00:00,45.77,48.52,218.48,12.36,588.0,Half TP
14,long,2025-01-13T13:00:00+00:00,2025-01-14T02:00:00+00:00,45.77,48.27,218.48,12.33,534.85,SL
15,long,2025-01-14T15:00:00+00:00,2025-01-15T02:00:00+00:00,50.23,52.78,199.08,12.3,495.72,Half TP
15,long,2025-01-14T15:00:00+00:00,2025-01-15T03:00:00+00:00,50.23,52.16,199.08,12.23,372.29,SL
16,short,2025-01-16T08:00:00+00:00,2025-01-16T11:00:00+00:00,53.22,53.85,375.8,24.14,-259.8,SL
17,short,2025-01-16T21:00:00+00:00,2025-01-17T01:00:00+00:00,54.13,54.76,369.48,24.14,-256.56,SL
18,short,2025-01-20T11:00:00+00:00,2025-01-20T17:00:00+00:00,49.44,46.45,202.27,11.64,593.51,Half TP
18,short,2025-01-20T11:00:00+00:00,2025-01-20T18:00:00+00:00,49.44,46.14,202.27,11.6,654.88,SL
