id,direction,entry_time,exit_time,entry_price,exit_price,size,fee,pnl,reason
1,short,2024-01-03T11:00:00,2024-01-03T13:00:00,1.09,1.09,2.29,16.0,225.82,Half TP
1,short,2024-01-03T11:00:00,2024-01-03T14:00:00,1.09,1.09,2.29,16.0,434.3,SL
2,long,2024-01-03T21:00:00,2024-01-04T01:00:00,1.09,1.09,2.29,16.03,164.13,Half TP
2,long,2024-01-03T21:00:00,2024-01-04T02:00:00,1.09,1.09,2.29,16.03,180.86,SL
3,short,2024-01-04T13:00:00,2024-01-04T15:00:00,1.09,1.09,2.28,15.98,258.94,Half TP
3,short,2024-01-04T13:00:00,2024-01-04T16:00:00,1.09,1.09,2.28,15.98,297.43,SL
5,short,2024-01-04T19:00:00,2024-01-05T06:00:00,1.1,1.09,2.28,15.98,273.5,Half TP
5,short,2024-01-04T19:00:00,2024-01-05T07:00:00,1.1,1.09,2.28,15.98,280.68,SL
4,long,2024-01-04T18:00:00,2024-01-05T08:00:00,1.1,1.09,4.56,31.95,-1163.9,SL
6,long,2024-01-05T13:00:00,2024-01-05T14:00:00,1.09,1.09,2.29,16.03,116.64,Half TP
6,long,2024-01-05T13:00:00,2024-01-05T15:00:00,1.09,1.09,2.29,16.03,113.91,SL
8,long,2024-01-08T12:00:00,2024-01-08T13:00:00,1.09,1.09,2.28,15.99,135.37,Half TP
8,long,2024-01-08T12:00:00,2024-01-08T14:00:00,1.09,1.09,2.28,15.99,129.65,SL
7,short,2024-01-08T11:00:00,2024-01-08T16:00:00,1.09,1.1,4.57,32.0,-961.98,SL
9,long,2024-01-09T15:00:00,2024-01-09T17:00:00,1.09,1.09,4.57,31.98,-983.21,SL
10,short,2024-01-09T18:00:00,2024-01-09T21:00:00,1.09,1.09,2.29,16.0,267.38,Half TP
10,short,2024-01-09T18:00:00,2024-01-09T22:00:00,1.09,1.09,2.29,16.0,278.12,SL
11,long,2024-01-09T19:00:00,2024-01-10T09:00:00,1.09,1.09,2.29,16.0,137.62,Half TP
11,long,2024-01-09T19:00:00,2024-01-10T09:00:00,1.09,1.09,2.29,16.0,-196.63,Replace
12,long,2024-01-10T09:00:00,2024-01-10T10:00:00,1.09,1.09,2.29,16.02,98.89,Half TP
12,long,2024-01-10T09:00:00,2024-01-10T11:00:00,1.09,1.09,2.29,16.02,386.91,SL
13,short,2024-01-10T15:00:00,2024-01-10T17:00:00,1.09,1.1,4.57,31.99,-769.53,SL
14,long,2024-01-11T09:00:00,2024-01-11T11:00:00,1.1,1.1,4.55,31.88,-786.74,SL
15,short,2024-01-11T10:00:00,2024-01-11T12:00:00,1.1,1.1,2.28,15.95,173.56,Half TP
15,short,2024-01-11T10:00:00,2024-01-11T13:00:00,1.1,1.1,2.28,15.95,330.67,SL
16,long,2024-01-11T14:00:00,2024-01-11T15:00:00,1.1,1.1,4.55,31.87,-890.43,SL
17,long,2024-01-11T20:00:00,2024-01-11T21:00:00,1.1,1.1,2.28,15.96,179.38,Half TP
17,long,2024-01-11T20:00:00,2024-01-11T22:00:00,1.1,1.1,2.28,15.96,357.49,SL
18,long,2024-01-12T16:00:00,2024-01-12T17:00:00,1.1,1.1,2.28,15.94,167.58,Half TP
18,long,2024-01-12T16:00:00,2024-01-12T18:00:00,1.1,1.1,2.28,15.94,205.62,SL
19,short,2024-01-15T10:00:00,2024-01-15T11:00:00,1.1,1.09,2.28,15.97,207.22,Half TP
19,short,2024-01-15T10:00:00,2024-01-15T12:00:00,1.1,1.09,2.28,15.97,298.38,SL
20,long,2024-01-16T14:00:00,2024-01-16T15:00:00,1.09,1.09,2.3,16.08,125.7,Half TP
20,long,2024-01-16T14:00:00,2024-01-16T16:00:00,1.09,1.09,2.3,16.08,224.25,SL
21,long,2024-01-16T18:00:00,2024-01-17T10:00:00,1.09,1.09,4.6,32.17,-680.09,Replace
23,long,2024-01-17T10:00:00,2024-01-17T11:00:00,1.09,1.09,2.3,16.1,123.42,Half TP
23,long,2024-01-17T10:00:00,2024-01-17T12:00:00,1.09,1.09,2.3,16.1,231.13,SL
22,short,2024-01-16T19:00:00,2024-01-17T15:00:00,1.09,1.09,4.6,32.22,-73.64,Replace
24,short,2024-01-17T15:00:00,2024-01-17T16:00:00,1.09,1.09,2.3,16.11,270.09,Half TP
24,short,2024-01-17T15:00:00,2024-01-17T17:00:00,1.09,1.08,2.3,16.11,318.86,SL
25,long,2024-01-17T20:00:00,2024-01-17T21:00:00,1.09,1.09,2.3,16.11,155.6,Half TP
25,long,2024-01-17T20:00:00,2024-01-17T22:00:00,1.09,1.09,2.3,16.11,246.69,SL
26,short,2024-01-19T16:00:00,2024-01-22T02:00:00,1.09,1.09,4.6,32.17,-847.67,SL
27,short,2024-01-22T09:00:00,2024-01-22T10:00:00,1.09,1.09,2.29,16.06,177.48,Half TP
27,short,2024-01-22T09:00:00,2024-01-22T11:00:00,1.09,1.09,2.29,16.06,202.6,SL
28,long,2024-01-22T19:00:00,2024-01-23T02:00:00,1.09,1.09,4.59,32.12,-922.66,SL
29,short,2024-01-23T10:00:00,2024-01-23T11:00:00,1.09,1.09,2.29,16.06,199.23,Half TP
29,short,2024-01-23T10:00:00,2024-01-23T12:00:00,1.09,1.09,2.29,16.06,221.44,SL
30,short,2024-01-24T13:00:00,2024-01-24T15:00:00,1.09,1.09,4.59,32.13,-897.38,SL
32,short,2024-01-24T17:00:00,2024-01-24T21:00:00,1.09,1.09,2.29,16.05,296.44,Half TP
32,short,2024-01-24T17:00:00,2024-01-24T22:00:00,1.09,1.09,2.29,16.05,394.87,SL
31,long,2024-01-24T16:00:00,2024-01-25T02:00:00,1.09,1.09,4.59,32.1,-1286.49,SL
33,short,2024-01-25T14:00:00,2024-01-25T15:00:00,1.09,1.09,2.3,16.07,195.67,Half TP
33,short,2024-01-25T14:00:00,2024-01-25T16:00:00,1.09,1.09,2.3,16.07,443.12,SL
34,long,2024-01-26T11:00:00,2024-01-26T12:00:00,1.08,1.09,2.31,16.14,129.32,Half TP
34,long,2024-01-26T11:00:00,2024-01-26T13:00:00,1.08,1.09,2.31,16.14,460.39,SL
35,short,2024-01-26T18:00:00,2024-01-26T23:00:00,1.09,1.09,2.3,16.11,284.13,Half TP
35,short,2024-01-26T18:00:00,2024-01-29T01:00:00,1.09,1.08,2.3,16.11,600.49,SL
37,short,2024-01-29T10:00:00,2024-01-29T11:00:00,1.08,1.08,2.31,16.15,190.13,Half TP
36,long,2024-01-29T09:00:00,2024-01-29T12:00:00,1.08,1.08,4.61,32.3,-864.45,SL
37,short,2024-01-29T10:00:00,2024-01-29T13:00:00,1.08,1.08,2.31,16.15,225.84,SL
38,long,2024-01-29T14:00:00,2024-01-29T17:00:00,1.08,1.08,4.62,32.34,-921.78,SL
39,short,2024-01-29T16:00:00,2024-01-29T18:00:00,1.08,1.08,2.31,16.19,217.8,Half TP
39,short,2024-01-29T16:00:00,2024-01-29T19:00:00,1.08,1.08,2.31,16.19,213.82,SL
40,long,2024-01-30T12:00:00,2024-01-30T13:00:00,1.08,1.08,2.31,16.15,109.33,Half TP
40,long,2024-01-30T12:00:00,2024-01-30T14:00:00,1.08,1.08,2.31,16.15,182.5,SL
41,long,2024-01-31T11:00:00,2024-01-31T12:00:00,1.08,1.08,2.31,16.17,111.85,Half TP
41,long,2024-01-31T11:00:00,2024-01-31T13:00:00,1.08,1.08,2.31,16.17,168.64,SL
42,short,2024-01-31T18:00:00,2024-01-31T21:00:00,1.09,1.08,2.3,16.12,313.06,Half TP
42,short,2024-01-31T18:00:00,2024-01-31T22:00:00,1.09,1.08,2.3,16.12,828.04,SL
43,long,2024-02-01T11:00:00,2024-02-01T13:00:00,1.08,1.08,2.32,16.21,154.3,Half TP
43,long,2024-02-01T11:00:00,2024-02-01T14:00:00,1.08,1.08,2.32,16.21,296.51,SL
44,short,2024-02-02T13:00:00,2024-02-02T15:00:00,1.09,1.09,2.3,16.08,229.6,Half TP
44,short,2024-02-02T13:00:00,2024-02-02T16:00:00,1.09,1.08,2.3,16.08,1781.06,SL
45,short,2024-02-05T11:00:00,2024-02-05T15:00:00,1.08,1.07,2.32,16.27,261.13,Half TP
45,short,2024-02-05T11:00:00,2024-02-05T16:00:00,1.08,1.07,2.32,16.27,361.23,SL
46,long,2024-02-05T19:00:00,2024-02-05T20:00:00,1.07,1.07,2.33,16.3,129.39,Half TP
46,long,2024-02-05T19:00:00,2024-02-05T21:00:00,1.07,1.07,2.33,16.3,125.06,SL
47,short,2024-02-06T10:00:00,2024-02-06T11:00:00,1.07,1.07,2.33,16.28,169.25,Half TP
47,short,2024-02-06T10:00:00,2024-02-06T12:00:00,1.07,1.07,2.33,16.28,440.17,SL
48,long,2024-02-06T17:00:00,2024-02-06T18:00:00,1.07,1.07,2.33,16.29,116.86,Half TP
48,long,2024-02-06T17:00:00,2024-02-06T19:00:00,1.07,1.08,2.33,16.29,191.64,SL
49,long,2024-02-07T09:00:00,2024-02-07T12:00:00,1.08,1.08,4.64,32.49,-417.73,Replace
51,long,2024-02-07T12:00:00,2024-02-07T13:00:00,1.08,1.08,2.32,16.26,88.74,Half TP
51,long,2024-02-07T12:00:00,2024-02-07T14:00:00,1.08,1.08,2.32,16.26,187.6,SL
50,short,2024-02-07T11:00:00,2024-02-07T15:00:00,1.08,1.08,4.64,32.5,-667.23,SL
52,short,2024-02-07T16:00:00,2024-02-07T17:00:00,1.08,1.08,2.32,16.25,192.37,Half TP
52,short,2024-02-07T16:00:00,2024-02-07T18:00:00,1.08,1.08,2.32,16.25,317.98,SL
53,short,2024-02-08T10:00:00,2024-02-08T13:00:00,1.08,1.08,2.32,16.24,164.18,Half TP
53,short,2024-02-08T10:00:00,2024-02-08T14:00:00,1.08,1.08,2.32,16.24,337.79,SL
54,long,2024-02-08T18:00:00,2024-02-08T20:00:00,1.08,1.08,2.32,16.24,121.75,Half TP
54,long,2024-02-08T18:00:00,2024-02-08T21:00:00,1.08,1.08,2.32,16.24,180.36,SL
55,long,2024-02-09T09:00:00,2024-02-09T10:00:00,1.08,1.08,2.32,16.23,73.39,Half TP
55,long,2024-02-09T09:00:00,2024-02-09T11:00:00,1.08,1.08,2.32,16.23,69.42,SL
56,long,2024-02-09T15:00:00,2024-02-09T16:00:00,1.08,1.08,2.32,16.23,101.9,Half TP
56,long,2024-02-09T15:00:00,2024-02-09T17:00:00,1.08,1.08,2.32,16.23,239.02,SL
57,long,2024-02-12T09:00:00,2024-02-12T10:00:00,1.08,1.08,4.63,32.4,-726.03,SL
58,long,2024-02-12T18:00:00,2024-02-12T19:00:00,1.08,1.08,2.32,16.24,110.64,Half TP
58,long,2024-02-12T18:00:00,2024-02-12T20:00:00,1.08,1.08,2.32,16.24,172.11,SL
59,short,2024-02-13T11:00:00,2024-02-13T13:00:00,1.08,1.08,4.64,32.51,-644.39,SL
60,short,2024-02-13T15:00:00,2024-02-14T10:00:00,1.07,1.07,2.33,16.34,297.59,Half TP
60,short,2024-02-13T15:00:00,2024-02-14T11:00:00,1.07,1.07,2.33,16.34,276.01,SL
61,long,2024-02-14T15:00:00,2024-02-14T16:00:00,1.07,1.07,2.33,16.34,99.48,Half TP
61,long,2024-02-14T15:00:00,2024-02-14T17:00:00,1.07,1.07,2.33,16.34,293.25,SL
63,long,2024-02-16T09:00:00,2024-02-16T10:00:00,1.08,1.08,2.32,16.26,71.24,Half TP
63,long,2024-02-16T09:00:00,2024-02-16T11:00:00,1.08,1.08,2.32,16.26,214.12,SL
62,short,2024-02-15T18:00:00,2024-02-16T13:00:00,1.08,1.08,4.65,32.53,-831.14,SL
64,short,2024-02-16T15:00:00,2024-02-16T17:00:00,1.07,1.08,4.65,32.57,-770.58,SL
65,short,2024-02-19T10:00:00,2024-02-19T14:00:00,1.08,1.08,2.32,16.24,176.5,Half TP
65,short,2024-02-19T10:00:00,2024-02-19T15:00:00,1.08,1.08,2.32,16.24,162.02,SL
66,long,2024-02-20T08:00:00,2024-02-20T09:00:00,1.08,1.08,2.32,16.25,63.86,Half TP
66,long,2024-02-20T08:00:00,2024-02-20T10:00:00,1.08,1.08,2.32,16.25,60.49,SL
67,short,2024-02-20T18:00:00,2024-02-21T10:00:00,1.08,1.08,2.31,16.18,223.63,Half TP
67,short,2024-02-20T18:00:00,2024-02-21T11:00:00,1.08,1.08,2.31,16.18,327.41,SL
68,long,2024-02-21T15:00:00,2024-02-21T16:00:00,1.08,1.08,2.31,16.19,79.76,Half TP
68,long,2024-02-21T15:00:00,2024-02-21T17:00:00,1.08,1.08,2.31,16.19,103.12,SL
69,short,2024-02-22T11:00:00,2024-02-22T15:00:00,1.09,1.08,2.3,16.12,231.47,Half TP
69,short,2024-02-22T11:00:00,2024-02-22T16:00:00,1.09,1.08,2.3,16.12,686.14,SL
70,long,2024-02-23T09:00:00,2024-02-23T13:00:00,1.08,1.08,4.62,32.32,-143.13,Replace
72,long,2024-02-23T13:00:00,2024-02-23T14:00:00,1.08,1.08,2.31,16.16,90.35,Half TP
71,short,2024-02-23T11:00:00,2024-02-23T14:00:00,1.08,1.08,4.62,32.35,-681.36,SL
72,long,2024-02-23T13:00:00,2024-02-23T15:00:00,1.08,1.08,2.31,16.16,250.22,SL
73,short,2024-02-23T17:00:00,2024-02-26T09:00:00,1.08,1.08,4.62,32.35,-735.68,SL
