id,direction,entry_time,exit_time,entry_price,exit_price,size,fee,pnl,reason
1,short,2024-01-03T11:00:00,2024-01-03T12:00:00,1.26,1.26,1.98,13.86,104.76,Half TP
1,short,2024-01-03T11:00:00,2024-01-03T13:00:00,1.26,1.26,1.98,13.86,115.35,SL
2,long,2024-01-03T17:00:00,2024-01-03T18:00:00,1.26,1.26,1.98,13.86,57.7,Half TP
2,long,2024-01-03T17:00:00,2024-01-03T19:00:00,1.26,1.26,1.98,13.86,399.01,SL
3,long,2024-01-04T09:00:00,2024-01-04T10:00:00,1.27,1.27,1.97,13.79,42.71,Half TP
3,long,2024-01-04T09:00:00,2024-01-04T11:00:00,1.27,1.27,1.97,13.79,253.64,SL
4,short,2024-01-04T13:00:00,2024-01-04T15:00:00,1.27,1.27,1.97,13.79,124.78,Half TP
4,short,2024-01-04T13:00:00,2024-01-04T16:00:00,1.27,1.27,1.97,13.79,341.53,SL
5,long,2024-01-05T14:00:00,2024-01-05T15:00:00,1.27,1.26,3.95,27.64,-1060.88,SL
6,long,2024-01-05T16:00:00,2024-01-05T17:00:00,1.27,1.27,1.97,13.78,62.97,Half TP
6,long,2024-01-05T16:00:00,2024-01-05T18:00:00,1.27,1.28,1.97,13.78,1304.81,SL
7,short,2024-01-08T10:00:00,2024-01-08T11:00:00,1.27,1.27,1.97,13.79,118.09,Half TP
7,short,2024-01-08T10:00:00,2024-01-08T12:00:00,1.27,1.27,1.97,13.79,298.81,SL
8,long,2024-01-09T15:00:00,2024-01-09T16:00:00,1.27,1.27,1.96,13.75,48.66,Half TP
8,long,2024-01-09T15:00:00,2024-01-09T17:00:00,1.27,1.27,1.96,13.75,74.89,SL
9,long,2024-01-09T19:00:00,2024-01-09T20:00:00,1.27,1.27,1.97,13.77,52.01,Half TP
9,long,2024-01-09T19:00:00,2024-01-09T21:00:00,1.27,1.27,1.97,13.77,90.13,SL
10,short,2024-01-09T20:00:00,2024-01-10T08:00:00,1.27,1.27,1.97,13.78,121.49,Half TP
10,short,2024-01-09T20:00:00,2024-01-10T09:00:00,1.27,1.27,1.97,13.78,184.46,SL
11,long,2024-01-10T10:00:00,2024-01-10T11:00:00,1.27,1.27,1.97,13.76,38.19,Half TP
11,long,2024-01-10T10:00:00,2024-01-10T12:00:00,1.27,1.27,1.97,13.76,243.06,SL
12,short,2024-01-11T10:00:00,2024-01-11T11:00:00,1.28,1.28,1.96,13.71,80.95,Half TP
12,short,2024-01-11T10:00:00,2024-01-11T12:00:00,1.28,1.27,1.96,13.71,425.23,SL
13,long,2024-01-11T14:00:00,2024-01-11T15:00:00,1.28,1.27,3.92,27.43,-1035.67,SL
14,long,2024-01-11T20:00:00,2024-01-11T21:00:00,1.27,1.28,1.96,13.73,72.1,Half TP
14,long,2024-01-11T20:00:00,2024-01-11T22:00:00,1.27,1.28,1.96,13.73,283.27,SL
15,long,2024-01-12T15:00:00,2024-01-12T16:00:00,1.28,1.28,1.96,13.72,63.86,Half TP
15,long,2024-01-12T15:00:00,2024-01-12T17:00:00,1.28,1.28,1.96,13.72,457.06,SL
16,short,2024-01-12T19:00:00,2024-01-15T00:00:00,1.27,1.27,1.96,13.74,150.8,Half TP
16,short,2024-01-12T19:00:00,2024-01-15T01:00:00,1.27,1.27,1.96,13.74,358.88,SL
17,short,2024-01-16T20:00:00,2024-01-16T21:00:00,1.26,1.26,1.98,13.86,151.21,Half TP
17,short,2024-01-16T20:00:00,2024-01-16T22:00:00,1.26,1.26,1.98,13.86,131.87,SL
18,long,2024-01-17T09:00:00,2024-01-17T10:00:00,1.27,1.27,1.98,13.83,59.62,Half TP
18,long,2024-01-17T09:00:00,2024-01-17T11:00:00,1.27,1.27,1.98,13.83,327.88,SL
19,short,2024-01-17T15:00:00,2024-01-17T16:00:00,1.27,1.26,1.98,13.83,154.82,Half TP
19,short,2024-01-17T15:00:00,2024-01-17T17:00:00,1.27,1.26,1.98,13.83,177.97,SL
20,short,2024-01-18T10:00:00,2024-01-18T11:00:00,1.27,1.27,1.97,13.79,102.99,Half TP
20,short,2024-01-18T10:00:00,2024-01-18T12:00:00,1.27,1.27,1.97,13.79,241.5,SL
21,long,2024-01-18T17:00:00,2024-01-18T18:00:00,1.27,1.27,1.97,13.81,58.01,Half TP
21,long,2024-01-18T17:00:00,2024-01-18T19:00:00,1.27,1.27,1.97,13.81,314.71,SL
22,long,2024-01-19T18:00:00,2024-01-19T19:00:00,1.27,1.27,1.97,13.81,46.73,Half TP
22,long,2024-01-19T18:00:00,2024-01-19T20:00:00,1.27,1.27,1.97,13.81,217.52,SL
23,short,2024-01-22T09:00:00,2024-01-22T10:00:00,1.27,1.27,1.97,13.78,88.27,Half TP
23,short,2024-01-22T09:00:00,2024-01-22T11:00:00,1.27,1.27,1.97,13.78,286.46,SL
24,long,2024-01-22T14:00:00,2024-01-22T15:00:00,1.27,1.27,1.96,13.75,40.17,Half TP
24,long,2024-01-22T14:00:00,2024-01-22T16:00:00,1.27,1.27,1.96,13.75,78.93,SL
25,short,2024-01-23T11:00:00,2024-01-23T12:00:00,1.27,1.27,1.96,13.75,83.31,Half TP
25,short,2024-01-23T11:00:00,2024-01-23T13:00:00,1.27,1.27,1.96,13.75,310.76,SL
26,short,2024-01-24T13:00:00,2024-01-24T14:00:00,1.27,1.27,1.96,13.74,113.71,Half TP
26,short,2024-01-24T13:00:00,2024-01-24T15:00:00,1.27,1.27,1.96,13.74,194.07,SL
27,short,2024-01-25T15:00:00,2024-01-25T16:00:00,1.27,1.27,1.96,13.74,115.22,Half TP
27,short,2024-01-25T15:00:00,2024-01-25T17:00:00,1.27,1.27,1.96,13.74,597.49,SL
28,long,2024-01-26T11:00:00,2024-01-26T12:00:00,1.27,1.27,1.97,13.76,45.37,Half TP
28,long,2024-01-26T11:00:00,2024-01-26T14:00:00,1.27,1.27,1.97,13.76,589.41,SL
29,short,2024-01-26T17:00:00,2024-01-26T18:00:00,1.27,1.27,1.96,13.76,123.17,Half TP
29,short,2024-01-26T17:00:00,2024-01-26T19:00:00,1.27,1.27,1.96,13.76,127.87,SL
30,short,2024-01-29T11:00:00,2024-01-29T12:00:00,1.27,1.27,1.97,13.78,76.29,Half TP
30,short,2024-01-29T11:00:00,2024-01-29T13:00:00,1.27,1.27,1.97,13.78,121.32,SL
31,long,2024-01-29T19:00:00,2024-01-29T21:00:00,1.27,1.27,1.97,13.8,39.56,Half TP
31,long,2024-01-29T19:00:00,2024-01-29T23:00:00,1.27,1.27,1.97,13.8,633.0,SL
32,long,2024-01-30T16:00:00,2024-01-30T17:00:00,1.27,1.27,3.94,27.61,-986.13,SL
33,long,2024-01-31T10:00:00,2024-01-31T11:00:00,1.27,1.27,1.97,13.79,35.67,Half TP
33,long,2024-01-31T10:00:00,2024-01-31T12:00:00,1.27,1.27,1.97,13.79,59.8,SL
34,long,2024-01-31T13:00:00,2024-01-31T14:00:00,1.27,1.27,1.97,13.8,39.22,Half TP
34,long,2024-01-31T13:00:00,2024-01-31T15:00:00,1.27,1.27,1.97,13.8,37.12,SL
35,short,2024-01-31T20:00:00,2024-01-31T21:00:00,1.27,1.27,1.97,13.76,120.28,Half TP
35,short,2024-01-31T20:00:00,2024-01-31T22:00:00,1.27,1.27,1.97,13.76,572.65,SL
36,long,2024-02-01T14:00:00,2024-02-01T15:00:00,1.27,1.27,1.97,13.81,66.59,Half TP
36,long,2024-02-01T14:00:00,2024-02-01T16:00:00,1.27,1.27,1.97,13.81,105.45,SL
37,long,2024-02-02T09:00:00,2024-02-02T10:00:00,1.28,1.28,1.96,13.72,44.13,Half TP
37,long,2024-02-02T09:00:00,2024-02-02T11:00:00,1.28,1.28,1.96,13.72,285.27,SL
39,short,2024-02-02T13:00:00,2024-02-02T14:00:00,1.28,1.28,1.96,13.72,109.4,Half TP
38,long,2024-02-02T12:00:00,2024-02-02T15:00:00,1.28,1.27,3.92,27.42,-1213.81,SL
39,short,2024-02-02T13:00:00,2024-02-02T17:00:00,1.28,1.27,1.96,13.72,2048.78,SL
40,short,2024-02-05T12:00:00,2024-02-05T13:00:00,1.26,1.26,1.98,13.89,128.06,Half TP
40,short,2024-02-05T12:00:00,2024-02-05T14:00:00,1.26,1.26,1.98,13.89,402.39,SL
41,short,2024-02-06T11:00:00,2024-02-06T12:00:00,1.25,1.25,1.99,13.95,85.65,Half TP
41,short,2024-02-06T11:00:00,2024-02-06T13:00:00,1.25,1.25,1.99,13.95,74.86,SL
42,long,2024-02-06T15:00:00,2024-02-06T16:00:00,1.26,1.26,1.99,13.93,42.68,Half TP
42,long,2024-02-06T15:00:00,2024-02-06T17:00:00,1.26,1.26,1.99,13.93,275.07,SL
43,long,2024-02-07T09:00:00,2024-02-07T11:00:00,1.26,1.26,1.98,13.86,35.66,Half TP
43,long,2024-02-07T09:00:00,2024-02-07T12:00:00,1.26,1.26,1.98,13.86,146.28,SL
44,short,2024-02-07T14:00:00,2024-02-07T15:00:00,1.26,1.26,1.98,13.85,87.57,Half TP
45,long,2024-02-07T15:00:00,2024-02-07T16:00:00,1.26,1.26,1.98,13.86,38.74,Half TP
44,short,2024-02-07T14:00:00,2024-02-07T16:00:00,1.26,1.26,1.98,13.85,179.55,SL
45,long,2024-02-07T15:00:00,2024-02-07T17:00:00,1.26,1.26,1.98,13.86,277.93,SL
46,short,2024-02-07T18:00:00,2024-02-07T19:00:00,1.26,1.26,1.98,13.86,98.81,Half TP
46,short,2024-02-07T18:00:00,2024-02-07T20:00:00,1.26,1.26,1.98,13.86,174.1,SL
